S. No.,DISTRICT,Actual(mm),Normal(mm),Deviation(%) from normal,Year
279,BHAGALPUR,109.5,100.7,8.75,2020
280,BHOJPUR,86.3,85.7,0.71,2020
281,BUXAR,87.1,79.5,9.52,2020
282,DARBHANGA,119.6,96.4,24.05,2020
283,GAYA,88.6,90.6,-2.12,2020
284,GOPALGANJ,122.6,90.9,34.9,2020
285,JAMUI,93,-,-,2020
286,JEHANABAD,111.7,-,-,2020
287,KAIMUR (BHABUA),59.3,97,-38.87,2020
288,KATIHAR,157.1,115.6,35.9,2020
289,KHAGARIA,120.3,102.8,17.1,2020
290,KISHANGANJ,242.9,178.5,36.13,2020
291,LAKHISARAI,91.3,-,-,2020
292,MADHEPURA,128.5,117.6,9.3,2020
293,MADHUBANI,126.8,98.8,28.45,2020
294,MUNGER,102,95.5,6.77,2020
295,MUZAFFARPUR,110.4,99.9,10.54,2020
296,NALANDA,88.1,86.4,2.01,2020
297,NAWADA,90.1,-,-,2020
298,PASHCHIM CHAMPARAN,138.2,126.3,9.46,2020
299,PATNA,106,88,20.52,2020
300,PURBA CHAMPARAN,115.1,100.2,14.85,2020
301,PURNIA,157.5,123.8,27.25,2020
302,ROHTAS,75.2,93.1,-19.17,2020
303,SAHARSA,115,108.5,6.04,2020
304,SAMASTIPUR,123.8,93.3,32.69,2020
305,SARAN (CHHAPRA),101.1,96.8,4.37,2020
306,SHEIKHPURA,90.4,-,-,2020
307,SHEOHAR,120.8,-,-,2020
308,SITAMARHI,128.7,108.2,19.02,2020
309,SIWAN,98.8,94.2,4.87,2020
310,SUPAUL,164.8,108.5,51.93,2020
311,VAISHALI,111.2,-,-,2020
312,TOTAL,112.7,101.9,10.65,2020
313,ARARIA,148.6,-,-,2021
314,ARWAL,88,-,-,2021
315,AURANGABAD,101.2,87.2,16.06,2021
316,BANKA,86.2,-,-,2021
317,BEGUSARAI,105,89.1,17.82,2021
318,BHAGALPUR,111,100.7,10.25,2021
319,BHOJPUR,91.9,85.7,7.19,2021
320,BUXAR,82.9,79.5,4.22,2021
321,DARBHANGA,142.1,96.4,47.41,2021
322,GAYA,116.5,90.6,28.64,2021
323,GOPALGANJ,136.2,90.9,49.91,2021
324,JAMUI,87.5,-,-,2021
325,JEHANABAD,116.9,-,-,2021
326,KAIMUR (BHABUA),88,97,-9.27,2021
327,KATIHAR,129.5,115.6,12.01,2021
328,KHAGARIA,113.6,102.8,10.53,2021
329,KISHANGANJ,205.2,178.5,14.99,2021
330,LAKHISARAI,94.1,-,-,2021
331,MADHEPURA,116.9,117.6,-0.6,2021
332,MADHUBANI,151,98.8,52.95,2021
333,MUNGER,102.6,95.5,7.43,2021
334,MUZAFFARPUR,144,99.9,44.2,2021
335,NALANDA,110.7,86.4,28.18,2021
336,NAWADA,104.5,-,-,2021
337,PASHCHIM CHAMPARAN,189.4,126.3,49.97,2021
338,PATNA,119.7,88,36.11,2021
339,PURBA CHAMPARAN,124.4,100.2,24.08,2021
340,PURNIA,132.4,123.8,7.01,2021
341,ROHTAS,86.3,93.1,-7.29,2021
342,SAHARSA,123.5,108.5,13.9,2021
343,SAMASTIPUR,122.5,93.3,31.27,2021
344,SARAN (CHHAPRA),131.8,96.8,36.16,2021
345,SHEIKHPURA,89,-,-,2021
346,SHEOHAR,121.7,-,-,2021
347,SITAMARHI,145.8,108.2,34.82,2021
348,SIWAN,126.2,94.2,33.97,2021
349,SUPAUL,167.5,108.5,54.47,2021
350,VAISHALI,133,-,-,2021
351,TOTAL,123.6,101.9,21.39,2021
352,ARARIA,145.8,-,-,2022
353,ARWAL,57.2,-,-,2022
354,AURANGABAD,56.8,87.2,-34.91,2022
355,BANKA,67.6,-,-,2022
356,BEGUSARAI,76.3,89.1,-14.37,2022
357,BHAGALPUR,60.2,100.7,-40.21,2022
358,BHOJPUR,57,85.7,-33.5,2022
359,BUXAR,58.5,79.5,-26.5,2022
360,DARBHANGA,91.4,96.4,-5.14,2022
361,GAYA,68.8,90.6,-24.02,2022
362,GOPALGANJ,69.7,90.9,-23.32,2022
363,JAMUI,67.3,-,-,2022
364,JEHANABAD,82.9,-,-,2022
365,KAIMUR (BHABUA),54.9,97,-43.43,2022
366,KATIHAR,96.2,115.6,-16.78,2022
367,KHAGARIA,61.6,102.8,-40.1,2022
368,KISHANGANJ,218.8,178.5,22.6,2022
369,LAKHISARAI,62.5,-,-,2022
370,MADHEPURA,90.5,117.6,-23.09,2022
371,MADHUBANI,104.6,98.8,5.87,2022
372,MUNGER,60.7,95.5,-36.41,2022
373,MUZAFFARPUR,80.8,99.9,-19.09,2022
374,NALANDA,56.3,86.4,-34.77,2022
375,NAWADA,67.8,-,-,2022
376,PASHCHIM CHAMPARAN,97.6,126.3,-22.69,2022
377,PATNA,70.2,88,-20.21,2022
378,PURBA CHAMPARAN,69.2,100.2,-31,2022
379,PURNIA,118.1,123.8,-4.58,2022
380,ROHTAS,57.3,93.1,-38.46,2022
381,SAHARSA,71.1,108.5,-34.48,2022
382,SAMASTIPUR,82.7,93.3,-11.43,2022
383,SARAN (CHHAPRA),63.2,96.8,-34.71,2022
384,SHEIKHPURA,53.5,-,-,2022
385,SHEOHAR,70.3,-,-,2022
386,SITAMARHI,85.7,108.2,-20.77,2022
387,SIWAN,65.3,94.2,-30.65,2022
388,SUPAUL,146.8,108.5,35.3,2022
389,VAISHALI,73.3,-,-,2022
390,TOTAL,81.1,101.9,-20.34,2022
391,ARARIA,130.2,-,-,2023
392,ARWAL,56,-,-,2023
393,AURANGABAD,58.2,87.2,-33.28,2023
394,BANKA,97,-,-,2023
395,BEGUSARAI,91.4,89.1,2.63,2023
396,BHAGALPUR,107.6,100.7,6.84,2023
397,BHOJPUR,52.6,85.7,-38.6,2023
398,BUXAR,60.9,79.5,-23.38,2023
399,DARBHANGA,74,96.4,-23.22,2023
